x1,label
-2,-3
-1.97,-2.94
-1.94,-2.88
-1.91,-2.82
-1.88,-2.76
-1.85,-2.7
-1.82,-2.64
-1.79,-2.58
-1.76,-2.52
-1.73,-2.46
-1.7,-2.4
-1.67,-2.34
-1.64,-2.28
-1.61,-2.22
-1.58,-2.16
-1.55,-2.1
-1.52,-2.04
-1.49,-1.98
-1.46,-1.92
-1.43,-1.86
-1.4,-1.8
-1.37,-1.74
-1.34,-1.68
-1.31,-1.62
-1.28,-1.56
-1.25,-1.5
-1.22,-1.44
-1.19,-1.38
-1.16,-1.32
-1.13,-1.26
-1.1,-1.2
-1.07,-1.14
-1.04,-1.08
-1.01,-1.02
-0.98,-0.96
-0.95,-0.9
-0.92,-0.84
-0.89,-0.78
-0.86,-0.72
-0.83,-0.66
-0.8,-0.6
-0.77,-0.54
-0.74,-0.48
-0.71,-0.42
-0.68,-0.36
-0.65,-0.3
-0.62,-0.24
-0.59,-0.18
-0.56,-0.12
-0.53,-0.06
-0.5,0
-0.47,0.06
-0.44,0.12
-0.41,0.18
-0.38,0.24
-0.35,0.3
-0.32,0.36
-0.29,0.42
-0.26,0.48
-0.23,0.54
-0.2,0.6
-0.17,0.66
-0.14,0.72
-0.11,0.78
-0.08,0.84
-0.05,0.9
-0.02,0.96
0.01,1.02
0.04,1.08
0.07,1.14
0.1,1.2
0.13,1.26
0.16,1.32
0.19,1.38
0.22,1.44
0.25,1.5
0.28,1.56
0.31,1.62
0.34,1.68
0.37,1.74
0.4,1.8
0.43,1.86
0.46,1.92
0.49,1.98
0.52,2.04
0.55,2.1
0.58,2.16
0.61,2.22
0.64,2.28
0.67,2.34
0.7,2.4
0.73,2.46
0.76,2.52
0.79,2.58
0.82,2.64
0.85,2.7
0.88,2.76
0.91,2.82
0.94,2.88
0.97,2.94
1,3
1.03,3.06
1.06,3.12
1.09,3.18
1.12,3.24
1.15,3.3
1.18,3.36
1.21,3.42
1.24,3.48
1.27,3.54
1.3,3.6
1.33,3.66
1.36,3.72
1.39,3.78
1.42,3.84
1.45,3.9
1.48,3.96
1.51,4.02
1.54,4.08
1.57,4.14
1.6,4.2
1.63,4.26
1.66,4.32
1.69,4.38
1.72,4.44
1.75,4.5
1.78,4.56
1.81,4.62
1.84,4.68
1.87,4.74
1.9,4.8
1.93,4.86
1.96,4.92
1.99,4.98
2,5
