x1,label
-3.000000,-0.995055
-2.877551,-0.993687
-2.755102,-0.991942
-2.632653,-0.989718
-2.510204,-0.986883
-2.387755,-0.983274
-2.265306,-0.978682
-2.142857,-0.972846
-2.020408,-0.965441
-1.897959,-0.956062
-1.775510,-0.944210
-1.653061,-0.929277
-1.530612,-0.910529
-1.408163,-0.887103
-1.285714,-0.858000
-1.163265,-0.822101
-1.040816,-0.778210
-0.918367,-0.725124
-0.795918,-0.661749
-0.673469,-0.587257
-0.551020,-0.501285
-0.428571,-0.404127
-0.306122,-0.296905
-0.183673,-0.181636
-0.061224,-0.061148
0.061224,0.061148
0.183673,0.181636
0.306122,0.296905
0.428571,0.404127
0.551020,0.501285
0.673469,0.587257
0.795918,0.661749
0.918367,0.725124
1.040816,0.778210
1.163265,0.822101
1.285714,0.858000
1.408163,0.887103
1.530612,0.910529
1.653061,0.929277
1.775510,0.944210
1.897959,0.956062
2.020408,0.965441
2.142857,0.972846
2.265306,0.978682
2.387755,0.983274
2.510204,0.986883
2.632653,0.989718
2.755102,0.991942
2.877551,0.993687
3.000000,0.995055
